day,susceptible,exposed,infected,latent,treated,recovered,diseased,inc,hh_inc,
0,341300,0,1500,0,0,0,0,0,0,
1,341090,210,1482,0,14,0,4,0,0,
2,340878,422,1472,0,23,0,5,0,0,
3,340629,671,1458,0,37,0,5,0,0,
4,340385,910,1441,4,55,0,5,1,0,
5,340151,1143,1422,5,70,0,9,0,0,
6,339916,1376,1411,7,78,0,12,0,0,
7,339717,1573,1403,9,85,0,13,0,0,
8,339521,1768,1387,10,98,0,16,0,0,
9,339294,1986,1371,18,113,0,18,1,0,
10,339102,2174,1358,22,126,0,18,0,0,
11,338881,2390,1347,26,136,0,20,1,0,
12,338665,2601,1324,32,154,0,24,0,0,
13,338477,2780,1313,41,163,0,26,0,0,
14,338261,2988,1299,49,175,0,28,0,0,
15,338075,3170,1287,51,188,0,29,2,0,
16,337874,3362,1270,60,204,0,30,0,0,
17,337667,3561,1253,68,219,0,32,0,0,
18,337472,3751,1242,73,228,0,34,0,0,
19,337259,3949,1230,88,240,0,34,0,0,
20,337090,4109,1225,95,247,0,34,2,0,
21,336913,4277,1208,104,262,0,36,0,0,
22,336726,4450,1195,118,274,0,37,0,0,
23,336535,4615,1187,140,282,0,41,4,0,
24,336373,4765,1173,152,294,0,43,0,0,
25,336185,4945,1157,161,309,0,43,0,0,
26,336017,5103,1144,171,319,0,46,0,0,
27,335860,5242,1130,186,335,0,47,3,0,
28,335703,5385,1119,198,348,0,47,3,0,
29,335552,5520,1103,214,362,0,49,0,0,
30,335365,5689,1090,232,372,0,52,0,0,
31,335186,5849,1075,251,385,0,54,0,0,
32,335013,6007,1061,265,397,0,57,1,0,
33,334874,6126,1052,284,407,0,57,1,0,
34,334712,6270,1040,301,417,0,60,1,0,
35,334577,6392,1027,314,430,0,60,0,0,
36,334431,6521,1013,331,438,0,66,0,0,
37,334288,6644,1002,350,448,0,68,1,0,
38,334124,6796,988,362,462,0,68,0,0,
39,333972,6931,970,378,478,0,71,1,0,
40,333844,7043,959,392,490,0,72,3,0,
41,333706,7167,945,403,505,0,74,3,0,
42,333554,7295,938,423,515,0,75,4,0,
43,333426,7403,929,443,523,0,76,0,2,
44,333292,7515,911,465,541,0,76,0,0,
45,333172,7613,904,486,548,0,77,1,0,
46,333027,7739,899,502,556,0,77,3,0,
47,332902,7844,894,520,562,0,78,1,0,
48,332770,7955,889,539,568,0,79,2,0,
49,332660,8046,883,557,575,0,79,1,0,
50,332540,8138,879,583,581,0,79,2,0,
51,332430,8231,872,599,589,0,79,1,0,
52,332301,8339,861,618,601,0,80,2,0,
53,332188,8440,853,630,609,0,80,0,0,
54,332065,8541,846,649,619,0,80,2,0,
55,331960,8631,838,662,627,0,82,2,0,
56,331846,8721,829,685,636,0,83,1,0,
57,331741,8804,820,707,645,0,83,1,0,
58,331601,8916,813,732,655,0,83,3,0,
59,331469,9025,805,753,663,0,85,2,0,
60,331355,9112,803,778,666,0,86,2,0,
61,331228,9214,790,802,678,0,88,1,0,
62,331121,9298,778,824,689,0,90,1,1,
63,330996,9398,771,848,697,0,90,1,0,
64,330879,9486,762,877,706,0,90,0,0,
65,330778,9558,751,903,719,0,91,1,0,
66,330655,9654,743,928,729,0,91,2,0,
67,330545,9743,732,947,741,0,92,2,0,
68,330451,9817,725,965,750,0,92,1,0,
69,330343,9888,714,1001,762,0,92,0,0,
70,330227,9976,706,1027,770,0,94,2,0,
71,330142,10030,698,1056,779,0,95,2,0,
72,330032,10112,695,1082,784,0,95,1,0,
73,329927,10193,691,1103,791,0,95,2,0,
74,329820,10276,690,1124,795,0,95,3,0,
75,329742,10334,685,1142,802,0,95,2,0,
76,329638,10414,680,1165,807,0,96,1,0,
77,329528,10500,670,1188,818,0,96,1,0,
78,329441,10556,662,1217,825,0,99,2,0,
79,329338,10626,651,1249,836,0,100,1,0,
80,329228,10692,650,1290,840,0,100,3,0,
81,329133,10764,642,1311,849,0,101,2,0,
82,329050,10823,636,1331,858,0,102,2,0,
83,328953,10895,637,1353,860,0,102,3,0,
84,328859,10942,637,1394,866,0,102,5,0,
85,328766,11005,635,1422,870,0,102,2,0,
86,328663,11083,631,1446,875,0,102,0,0,
87,328586,11139,627,1466,880,0,102,1,0,
88,328517,11177,625,1493,886,0,102,4,0,
89,328418,11256,618,1513,892,0,103,0,0,
90,328332,11301,612,1549,902,0,104,4,0,
91,328235,11368,604,1579,909,0,105,0,0,
92,328158,11414,596,1608,919,0,105,1,0,
93,328072,11480,589,1626,926,0,107,2,0,
94,327986,11540,584,1651,930,0,109,1,0,
95,327910,11591,579,1673,937,0,110,2,0,
96,327823,11650,572,1701,943,0,111,0,0,
97,327733,11713,567,1727,949,0,111,1,0,
98,327648,11765,559,1759,955,0,114,0,0,
99,327576,11799,557,1795,959,0,114,1,0,
