day,susceptible,exposed,infected,latent,treated,recovered,diseased,inc,hh_inc,
0,341300,0,1500,0,0,0,0,0,0,
1,341090,210,1482,0,14,0,4,0,0,
2,340878,422,1472,0,23,0,5,0,0,
3,340629,671,1458,0,37,0,5,0,0,
4,340385,910,1441,4,55,0,5,1,0,
5,340151,1143,1422,5,70,0,9,0,0,
6,339916,1376,1411,7,78,0,12,0,0,
7,339717,1573,1403,9,85,0,13,0,0,
8,339521,1768,1387,10,98,0,16,0,0,
9,339294,1986,1371,18,113,0,18,1,0,
10,339102,2174,1358,22,126,0,18,0,0,
11,338881,2390,1347,26,136,0,20,1,0,
12,338665,2601,1324,32,154,0,24,0,0,
13,338477,2780,1313,41,163,0,26,0,0,
14,338261,2988,1299,49,175,0,28,0,0,
15,338075,3170,1287,51,188,0,29,2,0,
16,337874,3362,1270,60,204,0,30,0,0,
17,337667,3561,1253,68,219,0,32,0,0,
18,337472,3751,1242,73,228,0,34,0,0,
19,337259,3949,1230,88,240,0,34,0,0,
20,337090,4109,1225,95,247,0,34,2,0,
21,336913,4277,1208,104,262,0,36,0,0,
22,336726,4450,1195,118,274,0,37,0,0,
23,336535,4615,1187,140,282,0,41,4,0,
24,336373,4765,1173,152,294,0,43,0,0,
25,336185,4945,1157,161,309,0,43,0,0,
26,336017,5103,1144,171,319,0,46,0,0,
27,335861,5241,1130,186,335,0,47,3,0,
28,335704,5384,1119,198,348,0,47,3,0,
29,335553,5519,1103,214,362,0,49,0,0,
30,335367,5687,1090,232,372,0,52,0,0,
31,335188,5847,1075,251,385,0,54,0,0,
32,335015,6005,1061,265,397,0,57,1,0,
33,334876,6124,1052,284,407,0,57,1,0,
34,334714,6268,1040,301,417,0,60,1,0,
35,334579,6390,1027,314,430,0,60,0,0,
36,334433,6519,1013,331,438,0,66,0,0,
37,334290,6642,1002,350,448,0,68,1,0,
38,334126,6794,988,362,462,0,68,0,0,
39,333974,6929,970,378,478,0,71,1,0,
40,333845,7041,959,393,490,0,72,3,0,
41,333710,7156,947,412,502,0,73,0,0,
42,333564,7279,939,432,513,0,73,3,0,
43,333436,7394,925,444,527,0,74,1,0,
44,333300,7505,914,469,538,0,74,0,0,
45,333177,7611,905,485,548,0,74,1,0,
46,333033,7731,891,508,563,0,74,1,0,
47,332910,7838,882,524,571,0,75,0,0,
48,332781,7943,877,546,577,0,76,1,0,
49,332680,8027,869,562,585,0,77,1,0,
50,332561,8122,858,585,595,0,79,1,0,
51,332442,8218,854,606,600,0,80,2,0,
52,332311,8320,849,633,607,0,80,2,0,
53,332191,8419,841,653,614,0,82,1,0,
54,332057,8532,838,672,618,0,83,2,0,
55,331939,8622,832,696,626,0,85,4,0,
56,331825,8708,820,723,638,0,86,1,0,
57,331720,8787,813,749,645,0,86,1,0,
58,331584,8900,803,772,654,0,87,0,0,
59,331460,8996,795,800,662,0,87,0,0,
60,331356,9075,788,822,672,0,87,3,0,
61,331232,9171,782,848,678,0,89,2,0,
62,331126,9257,775,867,686,0,89,1,0,
63,331004,9354,765,891,697,0,89,1,0,
64,330888,9444,753,917,707,0,91,0,0,
65,330781,9524,749,943,711,0,92,2,0,
66,330663,9615,743,968,719,0,92,2,0,
67,330561,9688,735,996,728,0,92,1,0,
68,330465,9758,726,1019,740,0,92,1,0,
69,330355,9827,721,1055,750,0,92,4,0,
70,330247,9908,717,1079,755,0,94,2,0,
71,330141,9987,712,1105,761,0,94,1,0,
72,330035,10068,709,1128,765,0,95,2,0,
73,329939,10140,703,1152,769,0,97,0,0,
74,329830,10212,690,1189,781,0,98,0,0,
75,329741,10283,681,1206,789,0,100,1,0,
76,329630,10370,675,1229,796,0,100,1,0,
77,329512,10457,668,1259,803,0,101,1,0,
78,329406,10539,665,1280,809,0,101,3,0,
79,329315,10600,659,1309,815,0,102,1,0,
80,329206,10682,656,1335,819,0,102,1,0,
81,329103,10741,653,1376,824,0,103,1,0,
82,329009,10806,651,1403,828,0,103,3,0,
83,328925,10855,645,1436,836,0,103,2,0,
84,328832,10921,641,1461,842,0,103,1,0,
85,328738,10975,642,1496,846,0,103,5,0,
86,328656,11028,636,1522,854,0,104,3,0,
87,328571,11082,632,1551,860,0,104,1,0,
88,328485,11132,626,1585,868,0,104,2,0,
89,328385,11200,619,1614,877,0,105,3,0,
90,328304,11243,611,1650,885,0,107,2,0,
91,328220,11298,600,1678,896,0,108,0,0,
92,328145,11341,593,1710,902,0,109,0,0,
93,328053,11405,586,1737,910,0,109,1,0,
94,327966,11462,582,1764,917,0,109,3,0,
95,327880,11520,576,1789,924,0,111,2,0,
96,327787,11585,567,1817,932,0,112,0,0,
97,327690,11653,564,1841,938,0,114,5,0,
98,327613,11698,557,1872,946,0,114,1,0,
99,327545,11736,549,1902,954,0,114,0,0,
