day,susceptible,exposed,infected,latent,treated,recovered,diseased,inc,hh_inc,
0,341300,0,1500,0,0,0,0,0,0,
1,341090,210,1482,0,14,0,4,0,0,
2,340878,422,1472,0,23,0,5,0,0,
3,340629,671,1458,0,37,0,5,0,0,
4,340385,910,1441,4,55,0,5,1,0,
5,340151,1143,1422,5,70,0,9,0,0,
6,339916,1376,1411,7,78,0,12,0,0,
7,339717,1573,1403,9,85,0,13,0,0,
8,339521,1768,1387,10,98,0,16,0,0,
9,339294,1986,1371,18,113,0,18,1,0,
10,339102,2174,1358,22,126,0,18,0,0,
11,338881,2390,1347,26,136,0,20,1,0,
12,338665,2601,1324,32,154,0,24,0,0,
13,338477,2780,1313,41,163,0,26,0,0,
14,338261,2988,1299,49,175,0,28,0,0,
15,338075,3170,1287,51,188,0,29,2,0,
16,337874,3362,1270,60,204,0,30,0,0,
17,337667,3561,1253,68,219,0,32,0,0,
18,337472,3751,1242,73,228,0,34,0,0,
19,337259,3949,1230,88,240,0,34,0,0,
20,337090,4109,1225,95,247,0,34,2,0,
21,336913,4277,1208,104,262,0,36,0,0,
22,336726,4450,1195,118,274,0,37,0,0,
23,336535,4615,1187,140,282,0,41,4,0,
24,336373,4765,1173,152,294,0,43,0,0,
25,336185,4945,1157,161,309,0,43,0,0,
26,336017,5103,1144,171,319,0,46,0,0,
27,335860,5242,1130,186,335,0,47,3,0,
28,335701,5385,1119,200,348,0,47,3,0,
29,335552,5516,1099,218,364,0,51,0,0,
30,335363,5687,1086,235,376,0,53,1,0,
31,335191,5844,1080,250,382,0,53,1,0,
32,335018,5998,1058,269,404,0,53,0,0,
33,334875,6120,1052,290,408,0,55,0,0,
34,334708,6273,1037,304,422,0,56,0,0,
35,334572,6393,1030,319,430,0,56,1,0,
36,334428,6523,1020,329,442,0,58,3,0,
37,334279,6654,1013,347,447,0,60,0,0,
38,334116,6798,1003,364,457,0,62,2,0,
39,333957,6940,992,381,465,0,65,0,0,
40,333828,7048,983,402,473,0,66,0,0,
41,333682,7181,969,415,486,0,67,0,0,
42,333530,7309,962,438,493,0,68,1,0,
43,333400,7409,959,465,499,0,68,3,0,
44,333255,7530,942,488,515,0,70,1,0,
45,333132,7635,927,504,530,0,72,2,0,
46,332992,7751,921,525,538,0,73,3,0,
47,332876,7852,913,540,546,0,73,0,0,
48,332728,7978,902,562,557,0,73,0,0,
49,332606,8075,897,587,560,0,75,0,0,
50,332480,8174,890,612,568,0,76,2,0,
51,332353,8275,883,636,576,0,77,2,0,
52,332214,8393,876,656,584,0,77,1,0,
53,332083,8506,868,672,594,0,77,0,0,
54,331950,8627,859,683,604,0,77,1,0,
55,331832,8721,853,707,609,0,78,0,0,
56,331727,8798,845,734,618,0,78,1,0,
57,331607,8895,839,755,626,0,78,2,0,
58,331453,9030,828,774,637,0,78,0,0,
59,331314,9147,822,794,644,0,79,2,0,
60,331206,9221,812,826,655,0,80,2,0,
61,331090,9312,806,851,660,0,81,0,0,
62,330991,9384,793,876,675,0,81,2,0,
63,330865,9475,789,907,682,0,82,4,0,
64,330744,9568,780,933,693,0,82,1,0,
65,330642,9644,773,958,700,0,83,1,1,
66,330507,9759,770,977,703,0,84,0,0,
67,330386,9847,758,1010,713,0,86,0,0,
68,330295,9907,752,1042,717,0,87,0,0,
69,330179,9995,738,1070,731,0,87,0,0,
70,330071,10073,737,1096,736,0,87,3,0,
71,329960,10145,727,1131,749,0,88,5,0,
72,329854,10226,719,1156,757,0,88,0,0,
73,329753,10306,712,1177,763,0,89,0,0,
74,329650,10375,703,1210,770,0,92,1,0,
75,329572,10431,697,1231,777,0,92,1,0,
76,329455,10527,686,1250,788,0,94,0,0,
77,329348,10601,679,1280,798,0,94,3,0,
78,329255,10669,671,1304,807,0,94,0,0,
79,329163,10735,663,1329,814,0,96,1,0,
80,329059,10810,656,1355,822,0,98,3,0,
81,328947,10905,650,1369,830,0,99,1,0,
82,328860,10963,640,1397,840,0,100,1,0,
83,328766,11035,634,1417,848,0,100,2,0,
84,328672,11101,634,1443,850,0,100,2,0,
85,328566,11182,623,1467,862,0,100,1,0,
86,328484,11236,622,1491,867,0,100,3,0,
87,328394,11293,623,1522,868,0,100,3,0,
88,328305,11347,615,1557,875,0,101,0,0,
89,328210,11415,608,1582,883,0,102,0,0,
90,328125,11465,606,1613,889,0,102,4,0,
91,328037,11525,596,1641,899,0,102,0,0,
92,327951,11577,590,1673,907,0,102,1,0,
93,327851,11645,581,1705,915,0,103,0,0,
94,327776,11673,577,1750,921,0,103,2,0,
95,327695,11727,574,1772,929,0,103,4,0,
96,327595,11804,570,1793,934,0,104,2,0,
97,327502,11867,566,1822,939,0,104,1,0,
98,327406,11936,564,1847,942,0,105,1,0,
99,327327,11982,560,1878,947,0,106,2,0,
