day,susceptible,exposed,infected,latent,treated,recovered,diseased,inc,hh_inc,
0,341300,0,1500,0,0,0,0,0,0,
1,341090,210,1482,0,14,0,4,0,0,
2,340878,422,1472,0,23,0,5,0,0,
3,340629,671,1458,0,37,0,5,0,0,
4,340385,910,1441,4,55,0,5,1,0,
5,340151,1143,1422,5,70,0,9,0,0,
6,339916,1376,1411,7,78,0,12,0,0,
7,339717,1573,1403,9,85,0,13,0,0,
8,339521,1768,1387,10,98,0,16,0,0,
9,339294,1986,1371,18,113,0,18,1,0,
10,339102,2174,1358,22,126,0,18,0,0,
11,338881,2390,1347,26,136,0,20,1,0,
12,338665,2601,1324,32,154,0,24,0,0,
13,338477,2780,1313,41,163,0,26,0,0,
14,338261,2988,1299,49,175,0,28,0,0,
15,338075,3170,1287,51,188,0,29,2,0,
16,337874,3362,1270,60,204,0,30,0,0,
17,337667,3561,1253,68,219,0,32,0,0,
18,337472,3751,1242,73,228,0,34,0,0,
19,337259,3949,1230,88,240,0,34,0,0,
20,337090,4109,1225,95,247,0,34,2,0,
21,336913,4277,1208,104,262,0,36,0,0,
22,336726,4450,1195,118,274,0,37,0,0,
23,336535,4615,1187,140,282,0,41,4,0,
24,336373,4765,1173,152,294,0,43,0,0,
25,336185,4945,1157,161,309,0,43,0,0,
26,336017,5103,1144,171,319,0,46,0,0,
27,335860,5242,1130,186,335,0,47,3,0,
28,335703,5385,1119,198,348,0,47,3,0,
29,335552,5520,1103,214,362,0,49,0,0,
30,335366,5689,1090,231,372,0,52,0,0,
31,335185,5852,1075,249,385,0,54,0,0,
32,335014,6010,1061,261,397,0,57,1,0,
33,334871,6134,1052,279,406,0,58,1,0,
34,334709,6284,1037,291,421,0,58,0,0,
35,334578,6404,1028,302,428,0,60,0,0,
36,334427,6541,1016,315,439,0,62,1,0,
37,334282,6674,1007,326,448,0,63,1,0,
38,334126,6806,1001,348,455,0,64,2,0,
39,333978,6937,985,365,467,0,68,0,0,
40,333849,7056,973,375,478,0,69,0,0,
41,333718,7166,960,396,490,0,70,0,0,
42,333570,7297,947,412,503,0,71,1,0,
43,333437,7406,932,435,519,0,71,1,0,
44,333288,7535,924,454,528,0,71,1,0,
45,333165,7635,915,477,536,0,72,0,0,
46,333018,7763,908,494,544,0,73,2,0,
47,332894,7861,902,519,551,0,73,1,0,
48,332764,7968,896,541,557,0,74,1,0,
49,332652,8058,885,562,566,0,77,1,0,
50,332533,8159,874,580,576,0,78,0,0,
51,332415,8258,868,594,587,0,78,5,0,
52,332277,8372,859,617,597,0,78,1,0,
53,332150,8472,851,642,607,0,78,2,0,
54,332018,8578,839,665,621,0,79,2,0,
55,331913,8660,829,688,628,0,82,0,0,
56,331800,8752,819,708,637,0,84,1,0,
57,331700,8830,815,726,644,0,85,4,0,
58,331557,8950,808,748,651,0,86,1,0,
59,331432,9051,797,771,662,0,87,0,0,
60,331325,9127,787,800,673,0,88,2,0,
61,331197,9232,782,820,679,0,90,3,0,
62,331099,9307,768,843,693,0,90,0,0,
63,330990,9387,768,869,696,0,90,3,0,
64,330879,9470,761,895,704,0,91,2,0,
65,330778,9556,759,909,707,0,91,1,0,
66,330653,9654,751,935,716,0,91,1,0,
67,330545,9735,740,961,726,0,93,1,0,
68,330428,9822,735,990,732,0,93,1,0,
69,330316,9902,722,1020,746,0,94,1,0,
70,330205,9985,717,1045,753,0,95,3,0,
71,330114,10041,709,1076,765,0,95,4,0,
72,330013,10119,703,1098,772,0,95,2,0,
73,329909,10205,691,1115,783,0,97,0,0,
74,329796,10287,685,1145,789,0,98,1,0,
75,329715,10336,682,1173,794,0,100,4,0,
76,329605,10421,681,1196,797,0,100,2,0,
77,329498,10498,668,1226,808,0,102,0,0,
78,329398,10583,660,1240,815,0,104,1,0,
79,329308,10642,649,1270,826,0,105,1,0,
80,329196,10725,646,1295,833,0,105,3,0,
81,329098,10794,642,1322,838,0,106,2,0,
82,329009,10849,634,1352,849,0,107,4,0,
83,328908,10926,627,1376,855,0,108,0,0,
84,328809,10996,621,1405,860,0,109,0,0,
85,328725,11051,616,1433,866,0,109,1,0,
86,328640,11109,612,1458,871,0,110,1,0,
87,328554,11171,605,1480,880,0,110,2,0,
88,328476,11202,603,1526,883,0,110,1,0,
89,328388,11263,593,1553,890,0,113,0,0,
90,328308,11301,589,1593,896,0,113,2,0,
91,328213,11353,588,1632,901,0,113,4,0,
92,328139,11405,583,1654,906,0,113,0,0,
93,328052,11463,581,1680,911,0,113,1,0,
94,327956,11530,581,1705,915,0,113,3,0,
95,327872,11578,574,1741,920,0,115,0,0,
96,327783,11628,570,1780,924,0,115,0,0,
97,327694,11686,567,1809,928,0,116,2,0,
98,327601,11750,566,1835,932,0,116,3,0,
99,327522,11792,557,1872,941,0,116,0,0,
