day,susceptible,exposed,infected,latent,treated,recovered,diseased,inc,hh_inc,
0,341300,0,1500,0,0,0,0,0,0,
1,341090,210,1482,0,14,0,4,0,0,
2,340878,422,1472,0,23,0,5,0,0,
3,340629,671,1458,0,37,0,5,0,0,
4,340385,910,1441,4,55,0,5,1,0,
5,340151,1143,1422,5,70,0,9,0,0,
6,339916,1376,1411,7,78,0,12,0,0,
7,339717,1573,1403,9,85,0,13,0,0,
8,339521,1768,1387,10,98,0,16,0,0,
9,339294,1986,1371,18,113,0,18,1,0,
10,339102,2174,1358,22,126,0,18,0,0,
11,338881,2390,1347,26,136,0,20,1,0,
12,338665,2601,1324,32,154,0,24,0,0,
13,338477,2780,1313,41,163,0,26,0,0,
14,338261,2988,1299,49,175,0,28,0,0,
15,338075,3170,1287,51,188,0,29,2,0,
16,337874,3362,1270,60,204,0,30,0,0,
17,337667,3561,1253,68,219,0,32,0,0,
18,337472,3751,1242,73,228,0,34,0,0,
19,337259,3949,1230,88,240,0,34,0,0,
20,337090,4109,1225,95,247,0,34,2,0,
21,336913,4277,1208,104,262,0,36,0,0,
22,336726,4450,1195,118,274,0,37,0,0,
23,336535,4615,1187,140,282,0,41,4,0,
24,336373,4765,1173,152,294,0,43,0,0,
25,336185,4945,1157,161,309,0,43,0,0,
26,336017,5103,1144,171,319,0,46,0,0,
27,335860,5242,1130,186,335,0,47,3,0,
28,335703,5385,1119,198,348,0,47,3,0,
29,335552,5520,1103,214,362,0,49,0,0,
30,335365,5689,1090,232,372,0,52,0,0,
31,335186,5849,1075,251,385,0,54,0,0,
32,335013,6007,1061,265,397,0,57,1,0,
33,334874,6126,1052,284,407,0,57,1,0,
34,334712,6270,1040,301,417,0,60,1,0,
35,334577,6392,1027,314,430,0,60,0,0,
36,334431,6521,1013,331,438,0,66,0,0,
37,334288,6644,1002,350,448,0,68,1,0,
38,334124,6796,988,362,462,0,68,0,0,
39,333972,6931,970,378,478,0,71,1,0,
40,333844,7043,959,392,490,0,72,3,0,
41,333710,7161,946,404,505,0,74,4,0,
42,333557,7296,938,421,514,0,74,1,0,
43,333431,7402,925,441,527,0,74,0,0,
44,333294,7518,914,461,539,0,74,1,0,
45,333172,7628,903,472,550,0,75,1,0,
46,333030,7746,893,496,559,0,76,0,0,
47,332918,7831,883,520,571,0,77,2,0,
48,332790,7937,876,542,578,0,77,0,0,
49,332682,8023,865,562,591,0,77,2,0,
50,332567,8113,861,586,596,0,77,1,0,
51,332457,8197,859,608,602,0,77,4,0,
52,332327,8303,851,632,609,0,78,0,0,
53,332198,8410,845,653,616,0,78,1,0,
54,332080,8508,838,672,624,0,78,0,0,
55,331973,8590,833,695,631,0,78,2,0,
56,331869,8677,825,711,638,0,80,1,0,
57,331760,8760,821,735,642,0,82,2,0,
58,331628,8866,810,761,653,0,82,0,0,
59,331496,8968,799,790,665,0,82,1,0,
60,331381,9055,789,817,676,0,82,1,0,
61,331258,9145,781,847,685,0,84,3,0,
62,331153,9224,769,871,697,0,86,1,0,
63,331046,9299,762,898,709,0,86,3,0,
64,330931,9380,753,931,718,0,87,1,0,
65,330831,9459,746,951,724,0,89,1,0,
66,330701,9565,737,973,735,0,89,2,0,
67,330596,9648,729,993,745,0,89,1,0,
68,330494,9717,725,1024,750,0,90,2,0,
69,330380,9804,717,1047,762,0,90,4,0,
70,330280,9882,710,1068,770,0,90,1,0,
71,330184,9949,706,1094,776,0,91,2,0,
72,330084,10023,703,1119,778,0,93,1,0,
73,329985,10088,695,1151,788,0,93,1,0,
74,329870,10176,687,1177,796,0,94,1,0,
75,329789,10220,685,1206,802,0,98,5,0,
76,329685,10293,679,1234,809,0,100,3,0,
77,329573,10383,666,1255,823,0,100,1,0,
78,329472,10455,660,1283,829,0,101,1,0,
79,329387,10516,652,1304,840,0,101,3,0,
80,329277,10589,650,1335,848,0,101,6,0,
81,329182,10655,648,1362,852,0,101,2,0,
82,329092,10713,645,1393,856,0,101,1,0,
83,329004,10774,635,1420,864,0,103,0,0,
84,328922,10832,627,1442,873,0,104,1,0,
85,328831,10897,622,1467,879,0,104,1,0,
86,328758,10938,615,1497,887,0,105,2,0,
87,328666,11001,610,1524,894,0,105,1,0,
88,328582,11048,607,1558,900,0,105,3,0,
89,328499,11103,605,1585,903,0,105,1,0,
90,328412,11157,603,1614,909,0,105,3,0,
91,328322,11222,599,1638,914,0,105,1,0,
92,328234,11271,592,1675,921,0,107,2,0,
93,328139,11334,583,1703,934,0,107,2,0,
94,328054,11393,578,1727,941,0,107,2,0,
95,327969,11446,575,1756,947,0,107,3,0,
96,327866,11513,573,1789,952,0,107,2,0,
97,327773,11582,567,1813,958,0,107,0,0,
98,327681,11638,560,1846,967,0,108,3,0,
99,327610,11677,557,1878,970,0,108,1,0,
