day,susceptible,exposed,infected,latent,treated,recovered,diseased,inc,hh_inc,
0,341300,0,1500,0,0,0,0,0,0,
1,341090,210,1482,0,14,0,4,0,0,
2,340878,422,1472,0,23,0,5,0,0,
3,340629,671,1458,0,37,0,5,0,0,
4,340385,910,1441,4,55,0,5,1,0,
5,340151,1143,1422,5,70,0,9,0,0,
6,339916,1376,1411,7,78,0,12,0,0,
7,339717,1573,1403,9,85,0,13,0,0,
8,339521,1768,1387,10,98,0,16,0,0,
9,339294,1986,1371,18,113,0,18,1,0,
10,339102,2174,1358,22,126,0,18,0,0,
11,338881,2390,1347,26,136,0,20,1,0,
12,338665,2601,1324,32,154,0,24,0,0,
13,338477,2780,1313,41,163,0,26,0,0,
14,338261,2988,1299,49,175,0,28,0,0,
15,338075,3170,1287,51,188,0,29,2,0,
16,337874,3362,1270,60,204,0,30,0,0,
17,337667,3561,1253,68,219,0,32,0,0,
18,337472,3751,1242,73,228,0,34,0,0,
19,337259,3949,1230,88,240,0,34,0,0,
20,337090,4109,1225,95,247,0,34,2,0,
21,336913,4277,1208,104,262,0,36,0,0,
22,336726,4450,1195,118,274,0,37,0,0,
23,336535,4615,1187,140,282,0,41,4,0,
24,336373,4765,1173,152,294,0,43,0,0,
25,336185,4945,1157,161,309,0,43,0,0,
26,336017,5103,1144,171,319,0,46,0,0,
27,335860,5242,1130,186,335,0,47,3,0,
28,335703,5385,1119,198,348,0,47,3,0,
29,335554,5516,1103,216,362,0,49,0,0,
30,335367,5683,1094,236,370,0,50,0,0,
31,335193,5837,1080,253,385,0,52,3,0,
32,335020,5992,1065,266,404,0,53,5,0,
33,334877,6114,1058,286,412,0,53,1,0,
34,334706,6275,1041,293,430,0,55,3,0,
35,334557,6412,1030,305,439,0,57,0,0,
36,334407,6548,1018,317,451,0,59,2,0,
37,334263,6668,1013,339,457,0,60,2,0,
38,334106,6804,1006,360,463,0,61,0,0,
39,333947,6948,995,374,474,0,62,1,0,
40,333800,7082,986,387,481,0,64,1,0,
41,333656,7204,971,408,496,0,65,1,0,
42,333505,7339,958,424,509,0,65,0,0,
43,333369,7450,946,449,520,0,66,0,0,
44,333232,7570,933,464,534,0,67,2,0,
45,333111,7673,920,480,548,0,68,2,0,
46,332964,7797,911,501,558,0,69,2,0,
47,332842,7897,905,523,564,0,69,0,0,
48,332711,8002,896,548,573,0,70,1,0,
49,332601,8094,886,566,583,0,70,0,0,
50,332473,8203,877,584,592,0,71,1,0,
51,332355,8306,864,599,604,0,72,0,0,
52,332214,8430,856,614,613,0,73,2,0,
53,332090,8529,854,636,617,0,74,3,0,
54,331957,8634,849,661,624,0,75,3,0,
55,331854,8721,843,677,629,0,76,0,0,
56,331749,8807,833,695,638,0,78,0,0,
57,331643,8889,823,719,648,0,78,0,0,
58,331510,8999,808,742,661,0,80,0,0,
59,331391,9090,803,767,669,0,80,3,0,
60,331281,9173,797,791,677,0,81,3,0,
61,331158,9262,794,823,680,0,83,2,0,
62,331064,9330,781,849,692,0,84,0,0,
63,330950,9412,771,879,704,0,84,2,0,
64,330826,9506,765,907,712,0,84,2,0,
65,330715,9592,758,931,719,0,85,1,0,
66,330586,9696,757,955,720,0,86,1,0,
67,330472,9793,747,969,731,0,88,3,0,
68,330363,9880,742,988,739,0,88,3,0,
69,330249,9964,732,1014,751,0,90,2,0,
70,330141,10044,727,1040,756,0,92,2,0,
71,330042,10111,718,1072,765,0,92,0,0,
72,329935,10183,713,1107,769,0,93,0,0,
73,329835,10261,706,1129,775,0,94,0,0,
74,329726,10345,697,1153,784,0,95,1,0,
75,329647,10389,691,1183,793,0,97,5,0,
76,329535,10477,684,1206,800,0,98,0,0,
77,329425,10549,676,1241,810,0,99,3,0,
78,329318,10620,672,1275,816,0,99,3,0,
79,329219,10694,665,1298,823,0,101,2,0,
80,329112,10780,659,1317,830,0,102,1,0,
81,329008,10853,653,1348,835,0,103,0,0,
82,328910,10925,652,1371,839,0,103,3,0,
83,328816,10990,646,1400,845,0,103,0,0,
84,328720,11060,642,1425,850,0,103,1,0,
85,328634,11116,638,1453,856,0,103,2,0,
86,328552,11166,633,1482,863,0,104,3,0,
87,328464,11223,633,1511,865,0,104,2,0,
88,328383,11268,629,1547,869,0,104,0,0,
89,328283,11343,622,1571,877,0,104,1,0,
90,328197,11404,621,1594,880,0,104,2,0,
91,328107,11469,616,1618,884,0,106,1,0,
92,328033,11509,613,1649,888,0,108,2,0,
93,327928,11581,608,1677,897,0,109,4,0,
94,327849,11631,602,1703,905,0,110,3,0,
95,327771,11673,600,1737,909,0,110,1,0,
96,327673,11735,597,1769,915,0,111,4,0,
97,327577,11803,590,1795,923,0,112,2,0,
98,327485,11858,585,1831,929,0,112,1,0,
99,327409,11900,578,1865,936,0,112,1,0,
