day,susceptible,exposed,infected,latent,treated,recovered,diseased,inc,hh_inc,
0,341300,0,1500,0,0,0,0,0,0,
1,341090,210,1482,0,14,0,4,0,0,
2,340878,422,1472,0,23,0,5,0,0,
3,340629,671,1458,0,37,0,5,0,0,
4,340385,910,1441,4,55,0,5,1,0,
5,340151,1143,1422,5,70,0,9,0,0,
6,339916,1376,1411,7,78,0,12,0,0,
7,339717,1573,1403,9,85,0,13,0,0,
8,339521,1768,1387,10,98,0,16,0,0,
9,339294,1986,1371,18,113,0,18,1,0,
10,339102,2174,1358,22,126,0,18,0,0,
11,338881,2390,1347,26,136,0,20,1,0,
12,338665,2601,1324,32,154,0,24,0,0,
13,338477,2780,1313,41,163,0,26,0,0,
14,338261,2988,1299,49,175,0,28,0,0,
15,338075,3170,1287,51,188,0,29,2,0,
16,337874,3362,1270,60,204,0,30,0,0,
17,337667,3561,1253,68,219,0,32,0,0,
18,337472,3751,1242,73,228,0,34,0,0,
19,337259,3949,1230,88,240,0,34,0,0,
20,337090,4109,1225,95,247,0,34,2,0,
21,336913,4277,1208,104,262,0,36,0,0,
22,336726,4450,1195,118,274,0,37,0,0,
23,336535,4615,1187,140,282,0,41,4,0,
24,336373,4765,1173,152,294,0,43,0,0,
25,336185,4945,1157,161,309,0,43,0,0,
26,336017,5103,1144,171,319,0,46,0,0,
27,335860,5242,1130,186,335,0,47,3,0,
28,335703,5385,1119,198,348,0,47,3,0,
29,335552,5520,1103,214,362,0,49,0,0,
30,335365,5689,1090,232,372,0,52,0,0,
31,335186,5849,1075,251,385,0,54,0,0,
32,335013,6007,1061,265,397,0,57,1,0,
33,334874,6126,1052,284,407,0,57,1,0,
34,334712,6270,1040,301,417,0,60,1,0,
35,334577,6392,1027,314,430,0,60,0,0,
36,334431,6521,1013,331,438,0,66,0,0,
37,334288,6644,1002,350,448,0,68,1,0,
38,334124,6796,988,362,462,0,68,0,0,
39,333972,6931,970,378,478,0,71,1,0,
40,333844,7043,959,392,490,0,72,3,0,
41,333710,7161,946,404,505,0,74,4,0,
42,333570,7283,938,421,514,0,74,0,1,
43,333434,7404,932,434,521,0,75,2,0,
44,333299,7517,921,454,534,0,75,2,0,
45,333173,7630,911,467,543,0,76,0,0,
46,333029,7759,898,481,557,0,76,1,0,
47,332910,7860,892,498,564,0,76,0,0,
48,332774,7974,883,519,574,0,76,1,0,
49,332662,8062,878,538,583,0,77,5,0,
50,332544,8163,872,555,588,0,78,0,0,
51,332433,8255,860,574,600,0,78,0,0,
52,332296,8369,846,596,615,0,78,1,0,
53,332164,8475,839,620,623,0,79,2,0,
54,332036,8579,828,643,634,0,80,1,0,
55,331923,8667,822,665,642,0,81,3,0,
56,331816,8755,808,683,655,0,83,1,0,
57,331703,8843,800,708,663,0,83,1,0,
58,331575,8944,792,733,673,0,83,2,0,
59,331448,9047,783,755,682,0,85,2,0,
60,331333,9138,774,778,692,0,85,0,0,
61,331202,9235,763,810,703,0,87,2,0,
62,331104,9298,759,843,706,0,90,2,0,
63,330996,9376,755,871,712,0,90,2,0,
64,330889,9458,744,896,722,0,91,0,0,
65,330791,9533,739,917,729,0,91,2,0,
66,330660,9635,728,945,740,0,92,1,0,
67,330551,9717,716,971,753,0,92,0,0,
68,330451,9783,706,1004,764,0,92,1,0,
69,330343,9864,694,1031,775,0,93,0,0,
70,330246,9941,691,1049,780,0,93,2,0,
71,330153,10009,682,1074,787,0,95,1,0,
72,330056,10076,681,1103,789,0,95,1,0,
73,329978,10128,678,1126,795,0,95,2,0,
74,329864,10222,676,1145,798,0,95,1,0,
75,329783,10278,670,1169,803,0,97,1,0,
76,329682,10343,663,1204,811,0,97,1,0,
77,329568,10427,656,1234,817,0,98,0,0,
78,329480,10492,649,1256,823,0,100,1,0,
79,329385,10561,645,1282,827,0,100,0,0,
80,329294,10612,640,1320,833,0,101,2,0,
81,329196,10689,634,1339,841,0,101,2,0,
82,329110,10744,627,1368,850,0,101,2,0,
83,329025,10808,621,1387,858,0,101,2,0,
84,328926,10872,617,1420,864,0,101,2,0,
85,328832,10930,613,1453,870,0,102,3,0,
86,328737,10993,610,1483,875,0,102,0,0,
87,328655,11052,606,1504,879,0,104,1,1,
88,328569,11109,603,1530,885,0,104,2,0,
89,328476,11174,598,1559,889,0,104,0,0,
90,328387,11234,594,1584,897,0,104,4,0,
91,328290,11301,588,1613,903,0,105,1,0,
92,328206,11362,583,1632,912,0,105,3,0,
93,328115,11415,575,1667,923,0,105,3,0,
94,328030,11471,567,1694,932,0,106,2,0,
95,327949,11516,564,1729,935,0,107,1,0,
96,327861,11576,555,1755,945,0,108,0,0,
97,327773,11640,553,1776,950,0,108,3,0,
98,327703,11683,544,1802,959,0,109,1,0,
99,327631,11728,538,1828,964,0,111,1,0,
