day,susceptible,exposed,infected,latent,treated,recovered,diseased,inc,hh_inc,
0,341300,0,1500,0,0,0,0,0,0,
1,341090,210,1482,0,14,0,4,0,0,
2,340878,422,1472,0,23,0,5,0,0,
3,340629,671,1458,0,37,0,5,0,0,
4,340385,910,1441,4,55,0,5,1,0,
5,340151,1143,1422,5,70,0,9,0,0,
6,339916,1376,1411,7,78,0,12,0,0,
7,339717,1573,1403,9,85,0,13,0,0,
8,339521,1768,1387,10,98,0,16,0,0,
9,339294,1986,1371,18,113,0,18,1,0,
10,339102,2174,1358,22,126,0,18,0,0,
11,338881,2390,1347,26,136,0,20,1,0,
12,338665,2601,1324,32,154,0,24,0,0,
13,338477,2780,1313,41,163,0,26,0,0,
14,338261,2988,1299,49,175,0,28,0,0,
15,338075,3170,1287,51,188,0,29,2,0,
16,337874,3362,1270,60,204,0,30,0,0,
17,337667,3561,1253,68,219,0,32,0,0,
18,337472,3751,1242,73,228,0,34,0,0,
19,337259,3949,1230,88,240,0,34,0,0,
20,337090,4109,1225,95,247,0,34,2,0,
21,336913,4277,1208,104,262,0,36,0,0,
22,336726,4450,1195,118,274,0,37,0,0,
23,336535,4615,1187,140,282,0,41,4,0,
24,336373,4765,1173,152,294,0,43,0,0,
25,336185,4945,1157,161,309,0,43,0,0,
26,336017,5103,1144,171,319,0,46,0,0,
27,335860,5242,1130,186,335,0,47,3,0,
28,335703,5385,1119,198,348,0,47,3,0,
29,335552,5520,1103,214,362,0,49,0,0,
30,335365,5689,1090,232,372,0,52,0,0,
31,335186,5849,1075,251,385,0,54,0,0,
32,335013,6007,1061,265,397,0,57,1,0,
33,334874,6126,1052,284,407,0,57,1,0,
34,334712,6270,1040,301,417,0,60,1,0,
35,334577,6392,1027,314,430,0,60,0,0,
36,334431,6521,1013,331,438,0,66,0,0,
37,334288,6644,1002,350,448,0,68,1,0,
38,334124,6796,988,362,462,0,68,0,0,
39,333972,6931,970,378,478,0,71,1,0,
40,333844,7043,959,392,490,0,72,3,0,
41,333710,7161,946,404,505,0,74,4,0,
42,333570,7283,938,421,514,0,74,0,1,
43,333434,7404,932,434,521,0,75,2,0,
44,333299,7517,921,454,534,0,75,2,0,
45,333173,7630,911,467,543,0,76,0,0,
46,333029,7759,898,481,557,0,76,1,0,
47,332910,7860,892,498,564,0,76,0,0,
48,332774,7974,883,519,574,0,76,1,0,
49,332661,8065,876,538,583,0,77,3,0,
50,332543,8171,867,550,592,0,77,0,0,
51,332431,8255,862,576,599,0,77,1,0,
52,332291,8370,855,598,608,0,78,3,0,
53,332163,8474,847,621,617,0,78,1,0,
54,332038,8580,842,638,624,0,78,2,0,
55,331920,8667,838,669,627,0,79,0,0,
56,331804,8745,823,707,639,0,82,0,0,
57,331692,8836,818,728,643,0,83,1,0,
58,331558,8939,807,758,654,0,84,1,0,
59,331426,9047,797,779,666,0,85,3,0,
60,331322,9126,795,801,671,0,85,3,0,
61,331193,9237,784,819,680,0,87,0,0,
62,331085,9321,773,840,688,0,93,3,0,
63,330965,9417,768,863,694,0,93,0,0,
64,330871,9485,763,887,701,0,93,2,0,
65,330770,9560,758,913,705,0,94,0,0,
66,330651,9656,756,934,709,0,94,2,0,
67,330540,9741,747,960,718,0,94,0,0,
68,330441,9816,739,984,726,0,94,0,0,
69,330329,9905,727,1007,738,0,94,0,0,
70,330219,9989,718,1029,751,0,94,3,0,
71,330119,10066,708,1050,763,0,94,2,0,
72,330015,10146,705,1073,766,0,95,2,0,
73,329909,10222,700,1100,772,0,97,3,0,
74,329814,10289,700,1124,776,0,97,4,0,
75,329729,10353,698,1142,779,0,99,2,0,
76,329623,10434,693,1163,787,0,100,4,0,
77,329502,10532,682,1185,798,0,101,1,0,
78,329411,10590,675,1214,808,0,102,2,0,
79,329304,10659,664,1248,820,0,105,3,0,
80,329197,10742,658,1269,829,0,105,3,0,
81,329099,10810,650,1297,839,0,105,2,0,
82,328999,10877,642,1326,850,0,106,3,0,
83,328912,10943,640,1346,852,0,107,1,0,
84,328824,11000,635,1375,858,0,108,1,0,
85,328733,11061,626,1403,868,0,109,2,0,
86,328643,11114,630,1435,868,0,110,5,0,
87,328556,11179,628,1455,872,0,110,2,0,
88,328465,11240,621,1481,883,0,110,4,0,
89,328365,11312,613,1508,891,0,111,1,0,
90,328279,11366,608,1540,896,0,111,0,0,
91,328182,11424,600,1577,906,0,111,1,0,
92,328107,11467,590,1609,915,0,112,0,0,
93,328010,11525,581,1646,924,0,114,2,0,
94,327929,11575,574,1676,932,0,114,1,0,
95,327834,11634,568,1711,938,0,115,1,0,
96,327751,11690,562,1737,942,0,118,1,0,
97,327666,11748,557,1762,948,0,119,2,0,
98,327593,11796,552,1784,954,0,121,2,0,
99,327528,11830,546,1814,961,0,121,1,0,
