day,susceptible,exposed,infected,latent,treated,recovered,diseased,inc,hh_inc,
0,341300,0,1500,0,0,0,0,0,0,
1,341090,210,1482,0,14,0,4,0,0,
2,340878,422,1472,0,23,0,5,0,0,
3,340629,671,1458,0,37,0,5,0,0,
4,340385,910,1441,4,55,0,5,1,0,
5,340151,1143,1422,5,70,0,9,0,0,
6,339916,1376,1411,7,78,0,12,0,0,
7,339717,1573,1403,9,85,0,13,0,0,
8,339521,1768,1387,10,98,0,16,0,0,
9,339294,1986,1371,18,113,0,18,1,0,
10,339102,2174,1358,22,126,0,18,0,0,
11,338881,2390,1347,26,136,0,20,1,0,
12,338665,2601,1324,32,154,0,24,0,0,
13,338477,2780,1313,41,163,0,26,0,0,
14,338261,2988,1299,49,175,0,28,0,0,
15,338075,3170,1287,51,188,0,29,2,0,
16,337874,3362,1270,60,204,0,30,0,0,
17,337667,3561,1253,68,219,0,32,0,0,
18,337472,3751,1242,73,228,0,34,0,0,
19,337259,3949,1230,88,240,0,34,0,0,
20,337090,4109,1225,95,247,0,34,2,0,
21,336913,4277,1208,104,262,0,36,0,0,
22,336726,4450,1195,118,274,0,37,0,0,
23,336535,4615,1187,140,282,0,41,4,0,
24,336373,4765,1173,152,294,0,43,0,0,
25,336185,4945,1157,161,309,0,43,0,0,
26,336017,5103,1144,171,319,0,46,0,0,
27,335860,5242,1130,186,335,0,47,3,0,
28,335703,5385,1119,198,348,0,47,3,0,
29,335554,5516,1103,216,362,0,49,0,0,
30,335367,5683,1094,236,370,0,50,0,0,
31,335193,5837,1080,253,385,0,52,3,0,
32,335020,5992,1065,266,404,0,53,5,0,
33,334879,6111,1059,286,412,0,53,2,0,
34,334708,6269,1040,297,431,0,55,2,0,
35,334570,6387,1024,316,447,0,56,0,0,
36,334421,6514,1015,338,453,0,59,0,1,
37,334277,6635,1007,359,463,0,59,2,0,
38,334119,6777,999,373,471,0,61,2,0,
39,333962,6920,990,387,477,0,64,0,0,
40,333823,7044,978,401,487,0,67,1,0,
41,333678,7171,965,419,500,0,67,0,0,
42,333526,7304,957,437,507,0,69,1,0,
43,333385,7421,949,459,516,0,70,2,0,
44,333253,7525,934,485,533,0,70,2,0,
45,333126,7627,922,509,545,0,71,0,0,
46,332977,7752,915,530,555,0,71,3,0,
47,332854,7853,905,551,566,0,71,1,0,
48,332720,7969,895,567,577,0,72,2,0,
49,332614,8059,888,583,583,0,73,0,0,
50,332494,8158,880,604,590,0,74,0,0,
51,332376,8252,868,627,602,0,75,1,0,
52,332237,8366,862,651,609,0,75,1,0,
53,332109,8469,858,675,614,0,75,1,0,
54,331981,8564,849,706,624,0,76,2,0,
55,331866,8667,842,717,630,0,78,0,0,
56,331758,8754,836,736,638,0,78,2,0,
57,331648,8838,827,761,648,0,78,1,0,
58,331509,8956,817,782,657,0,79,0,0,
59,331375,9059,808,812,667,0,79,0,0,
60,331252,9159,804,832,674,0,79,2,0,
61,331116,9272,797,855,680,0,80,0,0,
62,331008,9363,785,869,694,0,81,3,0,
63,330884,9461,773,893,708,0,81,2,0,
64,330770,9551,761,916,721,0,81,1,0,
65,330671,9632,752,935,728,0,82,0,0,
66,330549,9735,753,951,730,0,82,3,0,
67,330432,9826,735,976,747,0,84,1,0,
68,330323,9914,726,997,755,0,85,0,0,
69,330213,9992,725,1025,760,0,85,4,0,
70,330108,10071,722,1045,769,0,85,6,0,
71,330006,10143,711,1072,782,0,86,2,0,
72,329908,10215,706,1097,788,0,86,1,0,
73,329803,10279,702,1135,794,0,87,3,0,
74,329695,10366,696,1154,802,0,87,2,0,
75,329606,10421,694,1185,807,0,87,3,0,
76,329491,10506,690,1209,816,0,88,5,0,
77,329369,10587,681,1249,824,0,90,1,0,
78,329276,10647,676,1280,831,0,90,2,0,
79,329178,10724,664,1301,842,0,91,0,0,
80,329084,10782,655,1334,851,0,94,3,0,
81,328991,10843,652,1364,856,0,94,2,0,
82,328900,10907,647,1389,863,0,94,3,0,
83,328803,10976,640,1413,873,0,95,4,0,
84,328718,11034,638,1439,876,0,95,1,0,
85,328616,11109,631,1464,884,0,96,2,0,
86,328531,11165,626,1491,890,0,97,2,0,
87,328443,11222,626,1520,892,0,97,2,0,
88,328362,11278,620,1544,899,0,97,1,0,
89,328273,11342,616,1567,904,0,98,1,0,
90,328183,11400,614,1595,910,0,98,3,0,
91,328096,11452,611,1626,917,0,98,4,0,
92,328009,11508,606,1655,923,0,99,1,0,
93,327927,11539,603,1704,927,0,100,0,0,
94,327845,11594,595,1728,936,0,102,3,0,
95,327760,11642,583,1764,947,0,104,1,0,
96,327668,11691,579,1805,953,0,104,2,0,
97,327576,11747,576,1839,958,0,104,1,0,
98,327503,11784,569,1873,965,0,106,0,0,
99,327428,11824,567,1906,969,0,106,1,0,
